,CODIGO DA ENTIDADE,NUMERO DE PARTICIPANTES,CODESC,NOMEESC
236,35126640,18,35126640,LUTERANO INSTITUTO EDUCACIONAL
237,35152754,18,35152754,NOVO RUMO COLEGIO
238,35132160,18,35132160,ADVENTISTA SAO CAETANO DO SUL COLEGIO
239,35140363,18,35140363,CENTRO INTERESCOLAR OBJETIVO UNIDADE MORUMBI
240,35107128,18,35107128,DIVINA PASTORA INSTITUTO
241,35153643,18,35153643,LEOPOLDO BRENTANO COLEGIO
242,35197048,18,35197048,ADVENTISTA DE EMBU DAS ARTES COLEGIO
243,35800193,18,35800193,HEITOR GARCIA COLEGIO UNIDADE II
244,35161950,18,35161950,IPE COLEGIO
245,35299182,18,35299182,MILLENIUM CONSTRUTIVO COLEGIO
246,35160763,18,35160763,BATISTA BIBLICO INSTITUTO EDUCACIONAL
247,35100080,18,35100080,SESI 069 CENTRO EDUCACIONAL
248,35153278,18,35153278,INTERVIVA COLEGIO
249,35109198,18,35109198,SAGRADA FAMILIA INSTITUTO DE ENSINO
250,35810575,18,35810575,NOVA GERACAO COLEGIO
251,35922924,19,35922924,MARCO ANTONIO PRUDENTE DE TOLEDO PROFESSOR
252,35126895,19,35126895,ELYTE INSTITUTO EDUCACIONAL
253,35185437,19,35185437,SENA DE MIRANDA COLEGIO UNIDADE II
254,35119520,19,35119520,SOBEN CENTRO EDUCACIONAL
255,35142864,19,35142864,FUTURO COLEGIO
256,35101761,19,35101761,SESI 329 CENTRO EDUCACIONAL
257,35105429,19,35105429,PORTO UNIAO COLEGIO
258,35108194,19,35108194,VIRGO POTENS COLEGIO
259,35144125,19,35144125,CARLOS DRUMOND DE ANDRADE COLEGIO
260,35165323,19,35165323,SAO JOSE CENTRO DE ENSINO
261,35144733,19,35144733,PRISMA COLEGIO I
262,35154817,19,35154817,THOMAZ TREGLIA COLEGIO
263,35173174,19,35173174,EVOLUCAO COLEGIO
264,35133541,19,35133541,LIMA GUIMARAES K COLEGIO
265,35468400,19,35468400,CARBONELL COLEGIO
266,35140326,19,35140326,PARADIGMA ESCOLA ED INFANTIL E ENSINO FUNDAMENTAL E MEDIO
267,35451411,19,35451411,SAA INSTITUTO DE EDUCACAO
268,35153114,19,35153114,T C A COLEGIO
269,35135562,19,35135562,SANTA BARBARA COLEGIO
270,35438170,19,35438170,AFAM COLEGIO UNIDADE SAO MIGUEL
271,35290762,19,35290762,SAO MARCOS COLEGIO ENSINO MEDIO
272,35140788,19,35140788,SANTA ISABEL COLEGIO
273,35161287,20,35161287,DOM FELIPE COLEGIO
274,35101679,20,35101679,CASTRO ALVES COLEGIO
275,35470259,20,35470259,MAIA COLEGIO
276,35042006,20,35042006,JUAREZ TAVORA MARECHAL
277,35142360,20,35142360,ALMEIDA GASPARIN COLEGIO
278,35107414,20,35107414,PASTEUR LICEU
279,35108455,20,35108455,SESI 174 CENTRO EDUCACIONAL
280,35102039,20,35102039,OLIVETANO COLEGIO
281,35159232,20,35159232,EBENEZER INSTITUTO DE ENSINO
282,35153503,20,35153503,SAO FRANCISCO COLEGIO
283,35123560,20,35123560,EL SHADAI COLEGIO
284,35435818,20,35435818,RAMA II COLEGIO
285,35010571,20,35010571,JOSE BARRETO PROFESSOR
286,35175043,20,35175043,DIALOG INSTITUTO DE ENSINO
287,35124709,20,35124709,ANNA TAVARES COLEGIO EIEPG
288,35135525,20,35135525,FLORESTA COLEGIO
289,35109046,20,35109046,BARAO DE MAUA INSTITUTO DE ENSINO
290,35102167,20,35102167,SESI 074 CENTRO EDUCACIONAL
291,35150551,20,35150551,VINICIUS DE MORAES COLEGIO CVM
292,35141768,20,35141768,PRELUDIO INSTITUTO EDUCACIONAL
293,35135550,20,35135550,CARLOS BRUNETTI COLEGIO
294,35185449,20,35185449,META LUX COLEGIO
295,35170975,20,35170975,EDUCARE COLEGIO
296,35301279,20,35301279,ANGLO LEONARDO DA VINCI COLEGIO
297,35118977,20,35118977,PRIGULE COLEGIO
298,35449748,20,35449748,COSTA AGUIAR COLEGIO
